f0_,f1_
2020-09-35,100
2020-09-36,122
2020-09-37,193
2020-09-38,192
2020-09-39,84
2020-10-39,46
2020-10-40,147
2020-10-41,119
2020-10-42,225
2020-10-43,196
2020-11-44,235
2020-11-45,188
2020-11-46,164
2020-11-47,183
2020-11-48,41
2020-12-48,62
2020-12-49,155
2020-12-50,162
2020-12-51,123
2020-12-52,40
2021-01-00,22
2021-01-01,137
