experiment_id|username|resources|labels|slots|start_time|training_time_sec
98|determined|""""""||1|2020-11-09 07:36:45.795339+00|20.440695
99|determined|""""""||1|2020-11-09 07:37:57.309368+00|20.551686
100|determined|""""""||1|2020-11-09 07:42:53.388309+00|20.77279
101|determined|""""""||1|2020-11-09 10:05:45.838728+00|20.507276
102|determined|""""""||1|2020-11-09 10:09:03.970845+00|20.443407
103|determined|""""""||1|2020-11-09 10:10:11.394272+00|24.964288
104|determined|""""""||1|2020-11-09 10:30:21.772102+00|24.871237
105|determined|""""""||1|2020-11-09 10:32:54.003106+00|28.816747
106|determined|""""""||1|2020-11-09 10:34:13.364257+00|28.400491
107|determined|""""""||1|2020-11-09 10:38:52.673143+00|32.140674
108|determined|""""""||1|2020-11-09 11:00:20.253433+00|20.413271
109|determined|""""""||1|2020-11-09 11:01:50.548855+00|20.445307
110|determined|""""""||1|2020-11-09 11:02:34.485488+00|20.485332
111|determined|""""""||1|2020-11-09 11:19:24.190974+00|29.268466
112|determined|""""""||1|2020-11-09 11:22:37.623041+00|25.750344
113|determined|""""""||1|2020-11-09 11:26:55.476468+00|28.480889
114|determined|""""""||1|2020-11-09 11:28:09.547666+00|28.529453
115|determined|""""""||1|2020-11-09 11:31:51.431077+00|28.251792
116|determined|""""""||1|2020-11-09 11:44:41.433941+00|29.605099
117|determined|""""""||1|2020-11-09 12:05:31.627672+00|30.901568
118|determined|""""""||1|2020-11-09 12:09:21.509253+00|26.036145
119|determined|""""""||1|2020-11-09 19:24:06.91671+00|29.239259
120|determined|""""""||1|2020-11-09 19:26:42.135258+00|28.409748
121|determined|""""""||1|2020-11-09 19:33:20.578313+00|27.794553
122|determined|""""""||1|2020-11-09 19:34:22.606901+00|30.69859
123|determined|""""""||1|2020-11-09 19:35:42.390748+00|18.56041
124|determined|""""""||1|2020-11-09 19:44:33.18903+00|20.487616
125|determined|""""""||1|2020-11-09 19:45:28.238498+00|18.392258
126|determined|""""""||1|2020-11-09 19:46:18.900766+00|20.549853
127|determined|""""""||1|2020-11-09 19:52:36.438308+00|20.415298
128|determined|""""""||1|2020-11-09 20:10:30.444693+00|18.677483
129|determined|""""""||1|2020-11-09 20:14:31.578833+00|20.410688
130|determined|""""""||1|2020-11-09 20:15:06.196213+00|20.54146
131|determined|""""""||1|2020-11-09 20:15:57.210848+00|20.492955
132|determined|""""""||1|2020-11-09 20:17:31.781064+00|20.374131
133|determined|""""""||1|2020-11-09 20:19:01.782947+00|25.659116
134|determined|""""""||1|2020-11-09 20:20:56.262701+00|27.961079
135|determined|""""""||1|2020-11-09 20:23:14.413436+00|29.430474
136|determined|""""""||1|2020-11-09 20:35:31.450236+00|19.996827
137|determined|""""""||1|2020-11-09 20:39:02.374304+00|20.400328
138|determined|""""""||1|2020-11-09 21:01:04.574269+00|28.868958
139|determined|""""""||1|2020-11-09 21:13:06.098457+00|26.933332
140|determined|""""""||1|2020-11-09 21:20:50.178635+00|24.62558
141|determined|""""""||1|2020-11-09 21:23:02.63919+00|25.763741
142|determined|""""""||1|2020-11-09 21:27:09.06438+00|29.553923
143|determined|""""""||1|2020-11-09 21:28:54.037395+00|25.713009
144|determined|""""""||1|2020-11-09 21:29:41.145487+00|28.80075
145|determined|""""""||1|2020-11-09 21:32:14.417395+00|29.43242
146|determined|""""""||1|2020-11-09 21:37:39.323361+00|28.162283
147|determined|""""""||1|2020-11-09 22:04:35.06468+00|46.689276
148|determined|""""""||1|2020-11-09 22:07:20.897672+00|0.024805
149|determined|""""""||1|2020-11-09 22:08:58.599194+00|0.026722
150|determined|""""""||1|2020-11-09 22:10:22.763903+00|0.02586
151|determined|""""""||1|2020-11-09 22:11:56.295026+00|31.430691
152|determined|""""""||1|2020-11-09 22:13:01.513647+00|29.5715
153|determined|""""""||1|2020-11-09 22:13:48.817257+00|29.032584
154|determined|""""""||1|2020-11-09 22:14:45.793263+00|55.005527
155|determined|""""""||1|2020-11-09 22:15:57.287739+00|0.024707
156|determined|""""""||1|2020-11-09 22:16:29.0122+00|0.024519
157|determined|""""""||1|2020-11-09 22:16:49.100238+00|0.028574
158|determined|""""""||1|2020-11-09 22:17:06.217389+00|34.431626
159|determined|""""""||1|2020-11-09 22:17:21.209137+00|0.025441
160|determined|""""""||1|2020-11-09 22:17:53.420209+00|26.874556
161|determined|""""""||1|2020-11-09 22:18:30.629839+00|0.023942
162|determined|""""""||1|2020-11-09 22:18:51.774502+00|0.030153
163|determined|""""""||1|2020-11-09 22:19:16.857875+00|51.268424
164|determined|""""""||1|2020-11-09 22:19:39.301383+00|45.088038
165|determined|""""""||1|2020-11-09 22:21:22.70456+00|44.82446
166|determined|""""""||1|2020-11-09 22:22:39.120727+00|45.709117
167|determined|""""""||1|2020-11-09 22:27:11.088227+00|0.024564
168|determined|""""""||1|2020-11-09 22:27:30.07591+00|54.599264
169|determined|""""""||1|2020-11-10 00:18:33.85208+00|0.024192
170|determined|""""""||1|2020-11-10 00:18:52.282731+00|0.0253
171|determined|""""""||1|2020-11-10 00:19:08.327337+00|46.520433
172|determined|""""""||1|2020-11-10 00:20:24.056726+00|0.026109
173|determined|""""""||1|2020-11-10 00:22:43.197405+00|0.028869
174|determined|""""""||1|2020-11-10 00:22:51.786432+00|0.024845
175|determined|""""""||1|2020-11-10 00:22:58.949823+00|0.024777
176|determined|""""""||1|2020-11-10 00:23:26.143446+00|47.847749
177|determined|""""""||1|2020-11-10 00:26:51.699666+00|0.025734
178|determined|""""""||1|2020-11-10 00:27:01.834742+00|0.023296
179|determined|""""""||1|2020-11-10 00:27:08.813529+00|0.022829
180|determined|""""""||1|2020-11-10 00:27:12.516327+00|0.031123
181|determined|""""""||1|2020-11-10 00:27:23.113761+00|0.02561
182|determined|""""""||1|2020-11-10 00:27:29.885247+00|0.023904
183|determined|""""""||1|2020-11-10 00:27:43.467289+00|0.025207
184|determined|""""""||1|2020-11-10 00:27:47.974217+00|0.023615
185|determined|""""""||1|2020-11-10 00:27:55.568987+00|48.301486
186|determined|""""""||1|2020-11-10 00:42:16.93964+00|0.027406
187|determined|""""""||1|2020-11-10 00:42:25.888254+00|0.023932
188|determined|""""""||1|2020-11-10 00:42:32.918169+00|0.025952
189|determined|""""""||1|2020-11-10 00:42:34.774338+00|0.02607
190|determined|""""""||1|2020-11-10 00:44:21.401298+00|0.027527
191|determined|""""""||1|2020-11-10 00:44:23.636845+00|0.026157
192|determined|""""""||1|2020-11-10 00:47:46.340235+00|0.027507
193|determined|""""""||1|2020-11-10 00:47:48.406594+00|51.635322
194|determined|""""""||1|2020-11-10 00:47:51.688078+00|52.149874
195|determined|""""""||1|2020-11-10 00:49:29.888779+00|0.02592
196|determined|""""""||1|2020-11-10 00:49:37.107712+00|0.025979
197|determined|""""""||1|2020-11-10 00:49:39.051562+00|0.025414
198|determined|""""""||1|2020-11-10 00:49:56.146738+00|0.024829
199|determined|""""""||1|2020-11-10 00:50:08.851894+00|0.025779
200|determined|""""""||1|2020-11-10 00:50:13.839558+00|0.022544
201|determined|""""""||1|2020-11-10 00:50:16.104111+00|0.026554
202|determined|""""""||1|2020-11-10 00:50:24.494503+00|0.025547
203|determined|""""""||1|2020-11-10 00:50:26.349493+00|52.476108
204|determined|""""""||1|2020-11-10 00:50:28.368582+00|45.452729
205|determined|""""""||1|2020-11-10 01:00:46.824244+00|0.025742
206|determined|""""""||1|2020-11-10 01:01:02.929203+00|0.027142
207|determined|""""""||1|2020-11-10 01:01:04.356156+00|0.023193
208|determined|""""""||1|2020-11-10 01:01:06.30027+00|17.973893
209|determined|""""""||1|2020-11-10 01:06:46.285791+00|17.434128
210|determined|""""""||1|2020-11-10 01:06:47.956799+00|0
211|determined|""""""||1|2020-11-10 01:06:49.829645+00|0
212|determined|""""""||1|2020-11-10 01:07:30.144212+00|0.02508
213|determined|""""""||1|2020-11-10 01:07:31.73358+00|0.026562
214|determined|""""""||1|2020-11-10 01:07:33.270698+00|50.741134
215|determined|""""""||1|2020-11-10 01:09:09.989439+00|0.024663
216|determined|""""""||1|2020-11-10 01:09:11.590735+00|52.271536
217|determined|""""""||1|2020-11-10 01:09:13.34987+00|55.862133
218|determined|""""""||1|2020-11-10 01:12:12.702889+00|0.029567
219|determined|""""""||1|2020-11-10 01:12:14.259118+00|0.02142
220|determined|""""""||1|2020-11-10 01:12:22.571971+00|0.028833
221|determined|""""""||1|2020-11-10 01:12:24.056756+00|0.023354
222|determined|""""""||1|2020-11-10 01:12:32.423715+00|45.704775
223|determined|""""""||1|2020-11-10 01:12:35.843609+00|0
224|determined|""""""||1|2020-11-10 01:12:37.428582+00|0
225|determined|""""""||1|2020-11-10 01:14:24.055243+00|0.025826
226|determined|""""""||1|2020-11-10 01:14:25.709846+00|0.025116
227|determined|""""""||1|2020-11-10 01:14:33.170808+00|0.025496
228|determined|""""""||1|2020-11-10 01:14:34.741785+00|0.025533
229|determined|""""""||1|2020-11-10 01:14:41.380615+00|0.025587
230|determined|""""""||1|2020-11-10 01:14:43.595924+00|50.346876
231|determined|""""""||1|2020-11-10 01:14:45.524643+00|63.690949
232|determined|""""""||1|2020-11-11 03:50:58.677593+00|0.02646
233|determined|""""""||1|2020-11-11 03:51:06.400049+00|64.972787
234|determined|""""""||1|2020-11-11 03:51:07.786775+00|0
235|determined|""""""||1|2020-11-11 03:51:09.298405+00|0
236|determined|""""""||1|2020-11-11 03:52:58.594255+00|0.02557
237|determined|""""""||1|2020-11-11 03:53:00.189504+00|0.023373
238|determined|""""""||1|2020-11-11 03:53:01.827578+00|0.027339
239|determined|""""""||1|2020-11-11 03:53:10.030659+00|0.025808
240|determined|""""""||1|2020-11-11 03:53:11.486568+00|0.026257
241|determined|""""""||1|2020-11-11 03:53:13.07872+00|0.025341
242|determined|""""""||1|2020-11-11 03:53:34.57373+00|0.025585
243|determined|""""""||1|2020-11-11 03:53:36.408639+00|0.024726
244|determined|""""""||1|2020-11-11 03:53:38.013335+00|0.025224
245|determined|""""""||1|2020-11-11 03:53:56.372372+00|0.039508
246|determined|""""""||1|2020-11-11 03:53:58.335062+00|0.025054
247|determined|""""""||1|2020-11-11 03:53:59.953708+00|0.021726
248|determined|""""""||1|2020-11-11 03:54:05.671701+00|0.023034
249|determined|""""""||1|2020-11-11 03:54:07.131957+00|0.023046
250|determined|""""""||1|2020-11-11 03:54:08.681917+00|0.023675
251|determined|""""""||1|2020-11-11 03:54:27.845568+00|0.025876
252|determined|""""""||1|2020-11-11 03:54:29.45305+00|65.175982
253|determined|""""""||1|2020-11-11 03:54:30.975498+00|68.905046
254|determined|""""""||1|2020-11-11 03:54:32.544881+00|77.274816
255|determined|""""""||1|2020-11-11 03:57:00.373911+00|0.025899
256|determined|""""""||1|2020-11-11 03:57:15.246257+00|0.02601
257|determined|""""""||1|2020-11-11 03:57:17.794568+00|0.030239
258|determined|""""""||1|2020-11-11 03:57:20.036714+00|0.02453
259|determined|""""""||1|2020-11-11 03:57:25.510211+00|0.025562
260|determined|""""""||1|2020-11-11 03:57:27.082143+00|0.024984
261|determined|""""""||1|2020-11-11 03:57:28.565075+00|0.02285
262|determined|""""""||1|2020-11-11 03:57:29.955625+00|0.024954
263|determined|""""""||1|2020-11-11 03:57:46.244445+00|64.671521
264|determined|""""""||1|2020-11-11 03:57:47.695029+00|54.427629
265|determined|""""""||1|2020-11-11 03:57:49.187181+00|56.252351
266|determined|""""""||1|2020-11-11 03:57:50.604139+00|84.504775
267|determined|""""""||1|2020-11-11 03:59:23.360984+00|0.024
268|determined|""""""||1|2020-11-11 03:59:30.839024+00|0.024286
269|determined|""""""||1|2020-11-11 03:59:32.29658+00|0.024795
270|determined|""""""||1|2020-11-11 03:59:33.668888+00|0.02415
271|determined|""""""||1|2020-11-11 03:59:35.074997+00|0.026594
272|determined|""""""||1|2020-11-11 03:59:41.822771+00|0.024303
273|determined|""""""||1|2020-11-11 03:59:43.281173+00|0.024296
