context_library_name,context_library_version,go_version,id,loaded_at,master_id,master_version,original_timestamp,received_at,sent_at,timestamp,user_id,uuid_ts,resource_manager_type
analytics-go,3.0.0,go1.14.2,d7def851-eef6-466b-9aad-c8bd27a57860,2020-08-07 05:46:07.145563 UTC,e9c5290b-811d-4511-b98f-2bb0fb283a37,0.12.3,2020-08-06 18:59:46.867344 UTC,2020-08-06 18:59:52.097 UTC,2020-08-06 18:59:51 UTC,2020-08-06 18:59:47.096 UTC,0a2f9f4d-a683-4cf2-992e-67bb80469ee5,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.14,b0a2e96b-71b0-435a-9d4d-4aa4789d03f9,2020-08-07 05:46:07.145563 UTC,af152c62-216d-4ae9-bdbf-93c70789fd01,0.12.12,2020-08-06 17:42:42.990557 UTC,2020-08-06 17:42:48.302 UTC,2020-08-06 17:42:47 UTC,2020-08-06 17:42:43.296 UTC,a77fc599-36a0-4d57-b6e5-5553f860c693,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.12,58266128-117b-4164-8249-ef3bf86a0d68,2020-08-06 05:46:08.010761 UTC,d8c17040-daad-4d02-a633-1cde08ca49cc,0.12.10,2020-08-06 02:01:15.982663 UTC,2020-08-06 02:01:21.335 UTC,2020-08-06 02:01:20 UTC,2020-08-06 02:01:16.333 UTC,8a97b803-d573-453b-a6a1-c1fd26a0c1b4,2020-08-06 05:46:08.010761 UTC,
analytics-go,3.0.0,go1.14.2,090055cd-ec7d-4e66-9ed2-83d17936bc3b,2020-08-07 05:46:07.145563 UTC,edb09cb2-abcf-4c8d-b09d-2af152aeb562,0.12.3,2020-08-06 18:57:52.493306 UTC,2020-08-06 18:57:57.451 UTC,2020-08-06 18:57:57 UTC,2020-08-06 18:57:52.451 UTC,0a2f9f4d-a683-4cf2-992e-67bb80469ee5,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.14,919afdd4-49ea-4933-957a-a92764562986,2020-08-06 05:46:08.010761 UTC,ab28df68-9666-4ddf-b57c-8a82c21c6b62,0.12.13rc2,2020-08-06 00:05:32.662667 UTC,2020-08-06 00:05:37.813 UTC,2020-08-06 00:05:37 UTC,2020-08-06 00:05:32.812 UTC,703ad356-a43e-4c3e-b283-33483c92ab60,2020-08-06 05:46:08.010761 UTC,
analytics-go,3.0.0,go1.13.14,c787ee0e-2283-49fe-a54b-ca0a5488588f,2020-08-07 05:46:07.145563 UTC,24a98531-570e-4431-b99c-473ef74babe5,0.12.12,2020-08-06 18:41:53.408972 UTC,2020-08-06 18:41:58.748 UTC,2020-08-06 18:41:58 UTC,2020-08-06 18:41:53.747 UTC,ffc64728-655e-4648-a53c-2f1a9f477925,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.12,2a63ff01-7a63-4f21-b100-4242a5e957be,2020-08-07 05:46:07.145563 UTC,33e2938d-d148-409d-979c-029193351991,0.12.11,2020-08-06 19:30:02.905100 UTC,2020-08-06 19:30:08.794 UTC,2020-08-06 19:30:07 UTC,2020-08-06 19:30:03.793 UTC,846c6508-9833-4af2-b36e-fa635965cfa3,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.12,e60680e4-ba08-4beb-aab5-38ed04f7d4b4,2020-08-06 17:46:11.453913 UTC,6849f4a7-3184-4d8b-9a0a-b4701d37e017,0.12.11,2020-08-06 06:28:27.463527 UTC,2020-08-06 06:28:33.790 UTC,2020-08-06 06:28:32 UTC,2020-08-06 06:28:28.790 UTC,846c6508-9833-4af2-b36e-fa635965cfa3,2020-08-06 17:46:11.453913 UTC,
analytics-go,3.0.0,go1.13.14,437c88e7-fd21-4856-b22a-a6698d1926d6,2020-08-07 05:46:07.145563 UTC,f7f7ba23-10f5-407e-a8f5-14593a23b7e3,0.12.12,2020-08-06 22:59:08.631020 UTC,2020-08-06 22:59:13.636 UTC,2020-08-06 22:59:13 UTC,2020-08-06 22:59:08.636 UTC,6f11f689-99dc-4b5b-838e-626f67d6ab0d,2020-08-07 05:46:07.145563 UTC,
analytics-go,3.0.0,go1.13.12,f9d754da-97c2-436c-aa4c-1b6c4440c651,2020-08-06 05:46:08.010761 UTC,fd1b81bb-e30a-4bf3-92e2-1e99294f5abc,0.12.10,2020-08-06 01:22:47.288730 UTC,2020-08-06 01:22:52.594 UTC,2020-08-06 01:22:52 UTC,2020-08-06 01:22:47.593 UTC,8a97b803-d573-453b-a6a1-c1fd26a0c1b4,2020-08-06 05:46:08.010761 UTC,
