master_id,master_version,user_id
bfd9f0fb-334e-4a43-9f31-b8b4778827d0,0.13.6,5677231d-da1e-422b-8631-1d9162a8c7e3
3889e2b1-c658-4fe3-8787-14ec1c3ce5c4,0.14.1,f5ea22ac-66d2-442d-a767-ae0b7358261b
0bbe6fdc-d08e-4558-82a3-180c8723581f,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
ae234fc7-bb6b-4a7a-bb0d-8fbaf022b90b,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
a521799f-bd97-4dcc-a662-fa66af72ab38,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
66fd235f-ab45-4329-a5a0-f4dd6baf83de,0.13.13,28ab62cb-324e-4afe-8b49-ee7d6d53b70b
3d9b9eb5-f8ee-4e1a-81ad-078dff1ff41b,0.13.5rc0,0330827c-3c06-4165-805b-23de5765e50b
f114a4e6-d9d6-4ca4-afed-e1d583e9444f,0.12.3,b883f659-44a3-45ad-8679-68d6b3a9f0e2
21b1bda6-7b05-43ea-b3d2-99a2e419ba53,0.13.12,bd52124c-fc3a-412e-bedc-63a5fda3fbac
eb088ff6-8c62-4e54-abf2-33b743403c22,0.13.13,f5ea22ac-66d2-442d-a767-ae0b7358261b
1d4aac66-21b9-4541-8f16-a21355acdeb9,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
98e77da4-1cbd-467b-b65f-90e60ce5cf23,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
ea020c6c-f673-4ab0-b2ac-e094658b7bcb,0.13.13,fb48f5f1-6a88-4024-8933-0e00b8e2b90c
7e992aff-9c58-4dae-9ac7-1da970130d57,0.13.8,90b37aea-7c08-4b11-8063-967d4eb56338
19349f27-5833-4099-b26d-97d6d0c5f866,0.13.6,5677231d-da1e-422b-8631-1d9162a8c7e3
1afe9215-c268-4b91-a5bb-c3c183083d90,0.14.0rc2,9ddb0d04-a559-4c62-9bac-72f3f7e487c1
0b2ae82d-64d9-492e-b04e-71fce7459ec3,0.13.5rc0,0330827c-3c06-4165-805b-23de5765e50b
ceff4725-7b84-4516-9dee-56f41fd3e9ce,0.14.0rc3,95638e69-5a42-44f9-9520-b587d4d8e353
c20faacf-4cb1-4341-82d6-5a5bf033e7c5,0.13.5rc0,0330827c-3c06-4165-805b-23de5765e50b
f421ec9a-ad65-4bd5-b4f5-5d21720b72ea,0.13.12,bd52124c-fc3a-412e-bedc-63a5fda3fbac
1f854ff9-475e-405c-9d5f-bb13fb6b9d41,0.13.8,90b37aea-7c08-4b11-8063-967d4eb56338
38be6727-6f02-41f2-b036-e29fbcc4cafc,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
b61efaf9-a27d-4652-8f37-44e9afc78e3d,0.12.3,b883f659-44a3-45ad-8679-68d6b3a9f0e2
f9f0ecc3-c132-415d-9a09-49f8cb4c4fca,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
