context_library_name,context_library_version,go_version,id,loaded_at,master_id,master_version,original_timestamp,received_at,sent_at,timestamp,user_id,uuid_ts,resource_manager_type
analytics-go,3.0.0,go1.15.8,86ff8829-6690-40ca-8ffd-b66382d6d326,2021-02-10 07:46:08.872954 UTC,f248caeb-f703-48f8-9a5c-f1c05287cd5e,0.14.0,2021-02-09 21:42:19.882833 UTC,2021-02-09 21:42:24.992 UTC,2021-02-09 21:42:24 UTC,2021-02-09 21:42:19.991 UTC,eef1d49e-8ee3-447f-bb81-7f297040df96,2021-02-10 07:46:08.872954 UTC,kubernetesRM
analytics-go,3.0.0,go1.15.8,16aa9210-5a9c-4189-9a32-3c8f7bdebb4d,2021-02-08 19:46:07.363413 UTC,a6a5bed3-4ec2-4815-a670-acc3bd406ca2,0.14.0,2021-02-08 14:44:15.165825 UTC,2021-02-08 14:44:20.499 UTC,2021-02-08 14:44:20 UTC,2021-02-08 14:44:15.498 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-08 19:46:07.363413 UTC,agentsRM
analytics-go,3.0.0,go1.13.15,a751ce50-0d3a-46b5-90f0-cc600dbca1bf,2021-02-13 07:46:09.126140 UTC,b869369d-6065-4312-846c-577963cf8ca7,0.13.9,2021-02-12 19:46:18.856695 UTC,2021-02-12 19:46:24.536 UTC,2021-02-12 19:46:23 UTC,2021-02-12 19:46:19.536 UTC,f0e053e1-1fbf-490e-8856-918142b6effc,2021-02-13 07:46:09.126140 UTC,agentsRM
analytics-go,3.0.0,go1.15.7,aab6640c-bc48-4beb-b8a4-ce45db803f74,2021-02-08 19:46:07.363413 UTC,1e795054-c3e0-4c97-a8ff-798d9e2c5c79,0.13.13,2021-02-08 09:52:16.579553 UTC,2021-02-08 09:52:21.694 UTC,2021-02-08 09:52:21 UTC,2021-02-08 09:52:16.694 UTC,a87faa82-0293-4455-8cb4-314635b2dd58,2021-02-08 19:46:07.363413 UTC,kubernetesRM
analytics-go,3.0.0,go1.15.8,e7a72ae1-e246-453f-b8f8-f890be108473,2021-02-08 19:46:07.363413 UTC,26a05a0b-89fa-4f90-9c64-fc7c4a168a2d,0.14.0,2021-02-08 11:04:44.765297 UTC,2021-02-08 11:04:50.118 UTC,2021-02-08 11:04:49 UTC,2021-02-08 11:04:45.118 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-08 19:46:07.363413 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,20341fda-a5d9-4d88-bb21-7cd46907c453,2021-02-10 07:46:08.872954 UTC,0fb0e2ea-c24d-408c-8631-9835b04223b2,0.14.0,2021-02-09 22:18:23.686259 UTC,2021-02-09 22:18:29.189 UTC,2021-02-09 22:18:28 UTC,2021-02-09 22:18:24.168 UTC,2a7cbf34-0ab8-4194-948d-078960d1ee52,2021-02-10 07:46:08.872954 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,a97fb333-13d8-454d-abbc-8c6517ea6046,2021-02-08 19:46:07.363413 UTC,d0e7f340-0b14-438b-abc7-0d5f2f0ef119,0.14.0,2021-02-08 11:03:18.058220 UTC,2021-02-08 11:03:23.453 UTC,2021-02-08 11:03:23 UTC,2021-02-08 11:03:18.452 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-08 19:46:07.363413 UTC,agentsRM
analytics-go,3.0.0,go1.15.6,8cc75e14-ade7-4e9e-9bbe-060cc177997f,2021-02-10 07:46:08.872954 UTC,592a4bc0-365e-45bb-bc43-1f9daff441b6,0.13.11,2021-02-09 22:49:25.731581 UTC,2021-02-09 22:49:31.345 UTC,2021-02-09 22:49:30 UTC,2021-02-09 22:49:26.344 UTC,72931e20-3987-465a-8c26-193920a4114a,2021-02-10 07:46:08.872954 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,3079b301-0a97-4d07-a1fb-e753ec7c7a99,2021-02-11 19:46:06.612661 UTC,f6cd3f32-b04e-4e99-90bc-2770b01f2073,0.14.1,2021-02-11 18:11:07.786035 UTC,2021-02-11 18:11:12.901 UTC,2021-02-11 18:11:12 UTC,2021-02-11 18:11:07.900 UTC,64f02d0c-899d-4b2f-8432-411ee2383bd0,2021-02-11 19:46:06.612661 UTC,kubernetesRM
analytics-go,3.0.0,go1.15.8,bcae5b8c-d573-479b-b293-c714278b4fd5,2021-02-15 07:46:08.720841 UTC,a10e274b-7c1e-4d69-8dce-33ad2c552559,0.14.0,2021-02-14 19:45:45.084508 UTC,2021-02-14 19:45:50.548 UTC,2021-02-14 19:45:50 UTC,2021-02-14 19:45:45.547 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-15 07:46:08.720841 UTC,agentsRM
